author,title,year,journal,coauthors,uses_log_or_poisson,keywords_found,notes,pdf_url
Joel Slemrod,"Optimal Tax Systems with Endogenous Behavioral Biases",forthcoming,Journal of Public Economics,Dylan Moore,No,,"Purely theoretical paper. No regressions or log transformations.",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3401834
Joel Slemrod,"Who Sold During the Crash of 2008-9?",forthcoming,Economic Journal,"Jeffrey Hoopes, Patrick Langetieg, Stefan Nagel, Daniel Reck, Bryan Stuart",Yes,"log; Poisson","Dep var is log(gross stock sales). Key IV is log VIX. Model uses Poisson random variables for trading intensities.",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2773682
Joel Slemrod,"How Do Taxpayers Respond to Public Disclosure and Social Recognition Programs?",forthcoming,Review of Economics and Statistics,"Obeid Ur Rehman, Mazhar Waseem",Yes,"log","Results reported in log points (9 log points, 17 log points) indicating log-transformed dep var (tax payments).",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3552392
Joel Slemrod,"Taxing Our Wealth",2021,Journal of Economic Perspectives,Florian Scheuer,No,,"log(c) appears in theoretical calibration only (log utility). No empirical regressions.",https://pubs.aeaweb.org/doi/pdfplus/10.1257/jep.35.1.207
Joel Slemrod,"Missing Miles: Evasion Responses to Car Taxes",2021,Journal of Public Economics,"Jarkko Harju, Tuomas Kosonen",Unable to verify,,"Could not access full text of published version. Abstract mentions diff-in-diff but cannot confirm log use.",
Joel Slemrod,"Heard It through the Grapevine",2020,Journal of Public Economics,"Will Boning, John Guyton, Ronald Hodge",Yes,"log","Dep var is log(employment tax remitted + 1). Results in log points. IHS transformation also used as robustness.",
Joel Slemrod,"Taxing Hidden Wealth",2020,AEJ: Economic Policy,"Niels Johannesen, Patrick Langetieg, Daniel Reck, Max Risch",Yes,"log","Uses IHS transformation of dep var (income) explicitly likened to log transformation. Traditional log in robustness checks.",https://www.aeaweb.org/articles?id=10.1257/pol.20180410
Joel Slemrod,"Tax Compliance and Enforcement",2019,Journal of Economic Literature,,No,,"Literature review paper. No own regressions run.",https://www.aeaweb.org/articles?id=10.1257/jel.20181437
Joel Slemrod,"Distributional Implications of Joint Tax Evasion",2018,Economic Journal,"Odd E. Nygard, Thor O. Thoresen",Yes,"log","Uses log-normal distributions and log income in simulation/calibration of tax evasion model.",http://www.cesifo-oup.de/DocDL/cesifo1_wp5915.pdf
Joel Slemrod,"Optimal Tax Administration",2017,Journal of Public Economics,Michael Keen,No,,"Purely theoretical paper. No empirical regressions.",
Joel Slemrod,"The Behavioral Response to Housing Transfer Taxes",2017,Journal of Urban Economics,"Caroline Weber, Hui Shan",Unable to verify,,"Could not access full text. Abstract mentions diff-in-diff estimates.",
Joel Slemrod,"Does Credit-Card Information Reporting Improve Small-Business Tax Compliance?",2017,Journal of Public Economics,"Brett Collins, Jeffrey Hoopes, Daniel Reck, Michael Sebastiani",Yes,"log; logarithm","Dep var is log of receipts and log of expenses. Footnote discusses logarithmic transformation as specification choice.",
Joel Slemrod,"Does Tax-Collection Invariance Hold?",2015,AEJ: Economic Policy,"Wojciech Kopczuk, Justin Marion, Erich Muehlegger",Yes,"ln; log","Dep var is ln(taxed gallons). Regressors include log diesel price, ln(1+t/p), log GSP, log degree days.",
Joel Slemrod,"Taxpayer Search for Information",2015,AEJ: Economic Policy,"Jeffrey Hoopes, Daniel Reck",No,,"Uses Google Trends/Wikipedia indices as dep vars in levels. No log transformations.",
Joel Slemrod,"Taxes on the Internet: Deterrence Effects of Public Disclosure",2015,AEJ: Economic Policy,"Thor O. Thoresen, Erlend E. Bo",Yes,"log","Dep var is log reported income throughout all regressions. Results in log points.",http://pubs.aeaweb.org/doi/pdfplus/10.1257/pol.20130330
Joel Slemrod,"Distinguishing the Role of Authority In and Authority To",2014,Journal of Public Economics,"Dan Silverman, Neslihan Uler",Unable to verify,,"Could not access full text. Lab experiment on public good contributions.",
Joel Slemrod,"The Effect of Public Disclosure on Reported Taxable Income",2013,National Tax Journal,"Makoto Hasegawa, Jeffrey Hoopes, Ryo Ishida",Unable to verify,,"Could not access full text.",
Joel Slemrod,"Car Notches: Strategic Automaker Responses to Fuel Economy Policy",2012,Journal of Public Economics,James Sallee,Yes,"log","Log sales used as regressor in bunching regressions.",
Joel Slemrod,"Check in the Mail or More in the Paycheck?",2012,AEJ: Economic Policy,"Claudia Sahm, Matthew Shapiro",No,,"Linear probability model with binary dep var. No log transformations.",http://pubs.aeaweb.org/doi/pdfplus/10.1257/pol.4.3.216
Joel Slemrod,"Tax Policy and the Missing Middle",2011,Journal of Public Economics,"Dhammika Dharmapala, John D. Wilson",No,,"Purely theoretical paper. No empirical regressions.",
Joel Slemrod,"The Distribution of Income Tax Noncompliance",2010,National Tax Journal,Andrew Johns,Yes,"log","Uses Detection Controlled Estimation with displaced log-normal distribution. Log of noncompliance modeled as tobit.",
Joel Slemrod,"Playing with Fire: Cigarette Taxes and Competition from the Internet",2010,AEJ: Economic Policy,"Austan Goolsbee, Michael Lovenheim",Yes,"ln; logarithm; Poisson","Dep var is ln(per-capita taxable cigarette packs). IVs include ln(tax) and ln(price). Also runs Poisson regressions.",http://pubs.aeaweb.org/doi/pdfplus/10.1257/pol.2.1.131
Joel Slemrod,"The Fatal Toll of Driving to Drink",2010,Journal of Health Economics,Michael Lovenheim,Yes,"log; Poisson","Uses Poisson fixed effects count model for accidents. Controls include log VMT per capita and log real beer tax.",
